productID,category ,general,bath,glass,carpet,vacuum,manufacturer,product,website,fragrance,dilution,information,GsCertified,EcCertified,CarpetStyle
1000,Hand Soaps,,,,,,B.O.D Chemicals,13 BMF-Ultra Foaming Hand Soap and Body Wash,www.chimiquesbod.com,Yes,,Ready to Use,,ECOLOGO®,Silver Level
1001,Cleaning,,Bath,,,,BOD Chemicals,"17 NSB-820 Concentrated Bathroom Cleaner, 1,420 L",www.groupebod.ca/,Yes,1:21-1:64,,,ECOLOGO®,
1002,Cleaning,General,,,,,BOD Chemicals,"23 NTU-230 Concentrated All Purpose Neutral Cleaner, 4, 20 L",www.groupebod.ca/,Yes,1:32-1:85,,,ECOLOGO®,
1003,Cleaning,General,,Glass,Carpet,,WAXIE Sanitary Supply,255 Waxie-Green HP All Purpose Cleaner,www.waxie.com/,No,"1:32,",,,ECOLOGO®,Gold Level
1004,Floor Finish Stripper,,,,,,3M,3M CompuBlend II Floor Stripper,www.3m.com/,No,,,,,
1005,Cleaning,General,,,,,3M,"3M Neutral Cleaner LO Cleaner Concentrate 33H & 33L, 3M Twist 'n Fill Dispensing System",www.3m.com/,No,"1:396,",,Green Seal®,,Silver Level
1006,Floor Finish,,,,,,3M,3M Spangle Floor Finish,www.3m.com/,No,,,,,
1007,Cleaning,General,,,,,3M,3M Peroxide Cleaner Concentrate 34A,www.3m.com/3M/en_US/company-us/all-3m-products/~/3M-Peroxide-Cleaner-Concentrate-34A-0-5-Gallon-4-Case/?N=5002385+3291636672&rt=rud ,No,"1:115,",,Green Seal®,,
1008,Cleaning,General,Bath,Glass,,,WAXIE Sanitary Supply,43 Waxie-Green HP Multi Purpose Cleaner,info.waxie.com/,Yes,"1:32,",Toilet bowl cleaner,,,
1009,Cleaning,General,,,,,Produits Sanitaire Lepine Inc.,"440 Plus Cleaner Degreaser 4, 10 L",sanyinc.com/,Yes,1:1 - 1:40,,,ECOLOGO®,
1010,Cleaning,,,Glass,,,BOD Chemicals,"7 V-200 Concentrated Cleaner For Glass and Mutli Surfaces, 4, 20 L",www.groupebod.ca/,Yes,1:21-1:64,,,ECOLOGO®,
1011,Cleaning,General,,,,,Enviro-Solutions,70C General Purpose Cleaner,www.enviro-solution.com/,No,,,,ECOLOGO®,
1012,Cleaning,General,Bath,,Carpet,,Alliance Soap Manufacturing ,A1e Power Clean 4L,www.alliancesoap.ca/,Yes,1-10 oz/gal,Toilet Bowl Cleaner,,ECOLOGO®,
1013,Cleaning,General,Bath,Glass,,,Alliance Soap Manufacturing ,A1e Power Maxx 4L,www.alliancesoap.ca/,No,1:3-1:20,,,ECOLOGO®,
1014,Cleaning,General,,,,,Advanced Biocatalytics Corporation,Accell Clean G,www.abiocat.com,No,"1:32,",,Green Seal®,,
1015,Cleaning,General,,,,,Aqua ChemPacs LLC,ACP All Purpose Heavy-Duty Cleaner 102 ,www.chempacs.com/,Yes,,,Green Seal®,,
1016,Cleaning,General,,,,,Aqua ChemPacs LLC,ACP Auto-Scrub Floor Cleaner,www.chempacs.com/,Yes,"1:504,",,Green Seal®,,
